id,artist,name,genre,secondary_genres,tier
286,Green Day,21 Guns,Rock,Alternative,1
287,Soulja Boy Tell 'Em,Turn My Swag On,Hip Hop,"Hip-Hop/Rap, Music, Rock, Hardcore Rap",1
288,The-Dream,Rockin' That Thang,R & B,"R&B/Soul, Music, Rock, Hip-Hop/Rap, Rap, Contemporary R&B",1
289,Zac Brown Band,Chicken Fried,Country,"Country, Music",1
290,Beyonce,Diva,Pop,Pop,1
291,Brad Paisley,Then,Country,"Country, Music, Contemporary Country",1
292,Rob Thomas,Her Diamonds,Pop,Pop,1
293,Jesse McCartney,How Do You Sleep?,Pop,"Pop, Music, Rock, Adult Alternative",1
294,Justin Bieber,One Time,Pop,"Pop, Music, Dance, Teen Pop, R&B/Soul, Contemporary R&B, Rock",1
295,Lady Antebellum,I Run to You,Country,Country,1
296,John Legend,Green Light,R & B,"R&B/Soul, Music",1
297,Billy Currington,People Are Crazy,Country,Country,1
298,Zac Brown Band,Whatever It Is,Country,"Country, Music",1
299,Kristinia DeBarge,Goodbye,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Dance",1
300,Michael Franti & Spearhead,Say Hey,Pop,"Alternative, Music, Rock, Reggae, Dancehall, Hip-Hop/Rap, Alternative Rap",2
301,Jim Jones feat. Ron Browz & Juelz Santana,Pop Champagne,Hip Hop,Hip-Hop/Rap,2
302,Maxwell,Pretty Wings,R & B,"R&B/Soul, Music",2
303,The Fray,Never Say Never,Rock,"Rock, Music, American Trad Rock, Adult Alternative",2
304,Flo Rida feat. T-Pain,Low,Hip Hop,Hip-Hop/Rap,2
305,Leona Lewis,Bleeding Love,Pop,"Pop, Music, Adult Contemporary, Rock, Adult Alternative, R&B/Soul, Contemporary R&B, Pop/Rock",2
306,Lil Wayne feat. Static Major,Lollipop,Hip Hop,Hip-Hop/Rap,2
307,Jordin Sparks feat. Chris Brown,No Air,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Teen Pop, Pop/Rock",2
308,Usher feat. Young Jeezy,Love In This Club,R & B,R&B/Soul,2
309,Chris Brown,With You,R & B,"R&B/Soul, Music, Contemporary R&B",2
310,Ray J feat.  Yung Berg,Sexy Can I,Hip Hop,Hip-Hop/Rap,2
311,Rihanna,Take a Bow,Pop,Pop,2
312,Rihanna,Don't Stop the Music,Pop,"Pop, Music, R&B/Soul, Dance",2
313,Chris Brown feat. T-Pain,Kiss Kiss,R & B,"R&B/Soul, Music, Hip-Hop/Rap",2
314,Mariah Carey,Touch My Body,Pop,"Pop, Music, Electronic, Rock, Adult Contemporary, R&B/Soul, Contemporary R&B, Dance",2
315,Fergie,Clumsy,Pop,Pop,2
316,Jesse McCartney,Leavin,Pop,Pop,2
317,OneRepublic,Stop and Stare,Pop,"Pop, Music, Rock, Adult Alternative",2
318,Sean Kingston,Take You There,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Reggae, Pop",2
319,T.I. feat. Rihanna,Live Your Life,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Gangsta Rap",2
320,Lil Wayne feat. T-Pain,Got Money,Hip Hop,Hip-Hop/Rap,2
